transcript	length	SRR2040575_brain	SRR2040576_brain	SRR2040577_heart	SRR2040578_heart	SRR2040579_liver	SRR2040580_liver	SRR2040581_testes	SRR2040582_testes	SRR2040583_testes
NM_207392.2_KRTDAP	500	0	0	0	0	0	0	4	0	0
NM_207391.2_RGS9BP	2894	0	4	0	0	0	0	2	1	0
NM_207390.3_CLEC17A	2052	0	3	0	3	2	2	2	4	5
NM_207387.3_LRRC75A	2715	12	9	4	0	0	0	16	11	14
NM_207386.3_SHISA6	7415	18	6	0	0	0	0	3	2	18
NM_207385.1_C16orf47	1307	0	0	0	4	0	0	0	0	0
NM_207381.3_TNFAIP8L3	2274	2	10	8	6	0	11	9	26	6
NM_207380.2_C15orf52	5344	16	31	83	78	10	35	24	115	33
NM_207377.2_TOMM20L	610	0	0	0	0	0	0	8	6	0
NM_207375.2_CLEC2A	766	0	0	0	0	0	0	2	0	12
NM_207374.3_OR10W1	1469	0	0	0	0	0	0	2	0	0
NM_207373.2_C10orf99	835	0	0	0	4	0	2	0	0	0
NM_207372.2_SH2D4B	3983	4	0	2	0	6	2	2	1	0
NM_207371.3_SKIDA1	6613	17	8	2	3	16	13	12	49	341
NM_207370.2_GPR153	4099	14	13	18	4	10	6	10	12	0
NM_207368.4_MCRIP1	1285	36	26	24	18	12	8	14	14	0
NM_207366.2_SEPT14	3785	13	9	10	8	13	30	76	265	77
NM_207364.2_GPR148	1267	0	0	0	0	0	0	0	0	0
NM_207363.2_NCKAP5	7611	12	7	0	2	0	11	1	11	0
NM_207362.2_KIAA1211L	3884	176	130	16	10	0	0	25	27	0
NM_207361.5_FREM2	16179	13	6	12	4	3	9	13	35	38
NM_207360.2_ZC3H12D	4907	7	31	23	20	13	19	42	56	125
NM_207359.2_GADL1	3655	0	1	2	4	2	3	2	9	19
NM_207356.2_C1orf174	1705	21	37	27	26	9	48	37	60	134
NM_207355.3_POTEB3	2136	0	0	0	0	0	0	4	14	0
NM_207354.2_ANKRD13D	2150	71	65	11	14	2	11	10	24	26
NM_207352.3_CYP4V2	4713	39	67	38	25	208	264	70	116	203
NM_207351.4_PRRT3	3797	48	46	10	6	6	18	12	36	31
NM_207348.2_SLC25A34	3088	8	19	11	6	11	11	15	38	62
NM_207346.2_TSEN54	1970	14	12	10	12	6	16	14	36	0
NM_207345.3_CLEC9A	1737	0	0	0	0	0	0	12	4	0
NM_207344.3_SPRYD4	2122	5	16	24	9	117	101	15	58	20
NM_207343.3_RNF214	2770	2	6	6	2	4	4	21	19	0
NM_207342.2_STEAP1B	1298	0	1	0	0	0	2	0	1	0
NM_207341.3_ZP1	1972	2	0	2	0	0	0	13	6	0
NM_207340.1_ZDHHC24	1319	6	10	6	2	4	4	4	2	0
NM_207339.3_PAGE2	514	0	0	0	0	0	0	16	10	0
NM_207338.3_LCTL	2858	2	0	6	2	2	8	6	11	1
NM_207336.1_ZNF467	2295	10	8	6	4	4	2	0	2	2
NM_207335.2_KBTBD12	5268	10	37	46	46	16	39	25	61	38
NM_207334.2_FAM43B	2640	16	6	6	4	0	2	2	2	2
NM_207333.2_ZNF320	6145	31	47	48	29	6	36	37	157	29
NM_207332.2_ERICH1	1849	8	20	0	5	4	6	4	18	0
NM_207330.2_NIPAL1	5321	11	2	9	8	15	29	10	32	12
NM_207328.3_GPAT2	3106	0	7	4	3	0	0	5	11	0
NM_207327.4_CDPF1	1502	2	8	10	2	2	2	5	12	0
NM_207325.2_DPY19L3	6044	22	26	4	14	2	25	15	97	0
NM_207322.2_C2CD4A	3461	6	8	7	4	5	25	7	22	16
NM_207321.2_ACSM6	1756	0	0	0	0	0	0	0	4	13
NM_207320.2_OTUD6A	1689	7	10	8	4	2	14	12	33	74
NM_207318.3_FAM199X	7626	144	119	24	31	26	78	38	240	0
NM_207317.2_ZNF474	1979	2	0	0	0	2	2	29	12	0
NM_207316.2_TMEM207	1461	0	0	0	0	0	0	0	0	0
NM_207315.3_CMPK2	3014	10	2	2	11	0	8	6	11	2
NM_207311.2_BICDL1	3081	42	58	0	0	6	10	41	52	4
NM_207310.2_CCDC74B	1553	6	2	0	0	0	0	45	13	26
NM_207309.2_UAP1L1	3401	10	18	12	8	2	3	6	12	1
NM_207308.2_NUP210L	5913	0	0	0	0	0	0	130	94	22
NM_207307.2_EFCAB12	2169	0	4	2	0	0	2	35	13	0
NM_207305.4_FOXD4	2204	0	0	0	0	0	0	0	0	4
NM_207304.2_MBNL2	4624	76	60	17	47	12	124	8	22	2
NM_207303.4_ATRNL1	8746	275	206	12	4	4	0	37	26	0
NM_207297.1_MBNL1	5277	2	12	13	37	0	16	2	20	0
NM_207296.1_MBNL1	5246	14	10	23	38	2	14	0	18	0
NM_207295.1_MBNL1	5168	12	5	14	30	2	22	10	6	0
NM_207294.1_MBNL1	5132	6	9	12	32	4	18	4	16	0
NM_207293.1_MBNL1	5390	12	11	14	38	2	2	6	14	0
NM_207292.2_MBNL1	5961	4	14	18	41	4	19	4	24	0
NM_207291.2_USF2	1549	50	42	34	14	32	33	8	12	6
NM_207197.2_ADAM15	2999	4	4	13	18	0	14	0	6	3
NM_207196.2_ADAM15	2996	3	12	15	8	3	5	2	3	0
NM_207195.2_ADAM15	2924	4	8	28	16	4	2	2	4	0
NM_207194.2_ADAM15	2927	0	6	10	14	2	6	2	0	4
NM_207191.2_ADAM15	2782	4	8	4	8	0	4	4	0	2
NM_207189.3_BRDT	3361	0	0	0	0	0	0	101	55	0
NM_207186.2_OR10A4	995	0	0	0	0	0	0	0	0	0
NM_207181.2_NPHP1	2755	0	1	0	0	0	0	24	23	4
NM_207174.1_ABCG1	2983	4	2	4	8	4	0	2	2	4
NM_207173.1_NPSR1	1410	0	0	0	0	0	0	0	0	0
NM_207172.1_NPSR1	1567	0	0	0	0	0	0	0	0	0
NM_207171.2_POGZ	6163	24	32	15	7	4	27	18	87	4
NM_207170.3_SYF2	1651	12	10	10	10	20	26	11	19	14
NM_207168.1_ENSA	771	13	16	6	2	0	8	0	7	0
NM_207128.2_PAOX	1699	0	8	2	0	2	0	8	19	6
NM_207127.2_PAOX	1446	6	0	0	0	6	0	26	0	12
NM_207123.2_GAB1	7926	38	24	18	17	0	15	4	36	7
NM_207122.1_EXT2	3651	26	19	28	27	24	28	37	41	0
NM_207121.4_FAM110A	1619	0	2	0	0	0	0	0	0	0
NM_207118.2_GTF2H5	7503	87	63	57	43	20	65	76	118	210
NM_207117.2_SLC25A47	1733	4	0	0	0	226	306	0	1	0
NM_207115.1_ZNF580	1152	6	8	11	0	2	4	0	4	0
NM_207113.2_SLC37A3	3366	6	10	6	6	0	25	6	16	8
NM_207108.2_ASTN1	3974	28	28	0	0	0	2	4	2	0
NM_207103.3_SCIMP	2424	1	3	3	0	0	4	5	6	0
NM_207102.2_FBXW12	1647	0	0	0	0	0	0	0	0	0
NM_207047.1_ENSA	2747	62	70	36	43	13	27	29	46	0
NM_207046.1_ENSA	1116	30	50	10	8	18	29	0	10	0
NM_207045.1_ENSA	1164	42	24	2	2	14	16	0	4	0
NM_207044.1_ENSA	2883	96	82	38	32	26	34	14	60	0
NM_207043.1_ENSA	2931	70	64	26	29	17	14	26	28	0
NM_207042.1_ENSA	1300	38	32	8	2	18	32	4	4	0
NM_207040.1_TCF12	3995	0	4	2	3	2	5	2	11	0
NM_207038.1_TCF12	4717	2	6	2	4	0	4	10	8	0
NM_207037.1_TCF12	4806	4	2	10	8	2	4	10	10	0
NM_207036.1_TCF12	4796	6	0	2	2	2	4	4	10	0
NM_207034.2_EDN3	2676	2	2	0	0	0	0	0	0	0
NM_207033.2_EDN3	2634	2	0	0	0	0	0	0	0	0
NM_207032.2_EDN3	2711	2	4	0	0	0	0	0	0	0
NM_207015.2_NAALADL2	4912	0	0	2	2	4	4	4	6	0
NM_207014.2_WDR78	1764	1	2	0	0	0	0	42	20	0
NM_207013.2_TCEB2	620	56	42	42	37	58	56	80	35	18
NM_207012.3_AP3M1	5287	14	26	16	18	7	22	12	38	38
NM_207009.3_FAM45A	2489	16	5	6	3	2	14	0	10	0
NM_207007.3_CCL4L1	840	5	0	3	3	2	22	4	3	0
NM_207006.2_FAM83A	3701	0	1	0	3	0	1	2	4	24
NM_207005.2_USF1	1799	23	7	4	12	12	28	11	25	7
NM_207003.2_BCL2L11	4961	0	1	2	0	0	6	2	2	0
NM_207002.3_BCL2L11	728	0	0	2	0	0	0	2	0	0
NM_206999.2_CNOT1	5221	22	10	8	14	6	10	125	157	6
NM_206998.1_SCGB1D4	434	0	0	0	0	0	0	4	0	0
NM_206997.1_GPR152	1429	1	2	0	0	0	0	0	0	0
NM_206996.2_SPAG17	7125	2	0	2	0	0	2	213	106	0
NM_206967.2_C16orf74	899	4	0	0	0	0	0	0	0	0
NM_206966.2_C5orf46	587	2	0	0	0	0	0	13	2	0
NM_206965.1_FTCD	1884	0	2	2	0	267	50	14	13	0
NM_206964.1_FAM3B	1240	0	0	0	0	0	0	7	2	0
NM_206963.1_RARRES1	1545	0	0	30	63	4	16	6	6	0
NM_206962.3_PRMT2	2446	42	10	6	15	4	9	3	16	0
NM_206961.3_LTK	2960	2	0	0	0	1	4	4	0	0
NM_206956.2_PRAME	2414	0	0	0	0	0	0	8	30	0
NM_206955.2_PRAME	2435	0	0	0	0	0	0	12	15	0
NM_206954.2_PRAME	2210	0	0	0	0	0	0	4	34	2
NM_206953.2_PRAME	2845	0	0	0	0	0	0	8	30	0
NM_206948.2_TRPM3	1303	0	0	0	0	0	0	0	2	0
NM_206947.3_TRPM3	5985	0	2	0	0	0	0	3	7	0
NM_206946.3_TRPM3	6015	4	0	0	2	0	0	0	0	0
NM_206945.3_TRPM3	5946	10	0	0	0	0	0	0	4	0
NM_206944.3_TRPM3	5910	2	0	0	0	0	0	0	0	0
NM_206940.1_MS4A7	2841	4	3	7	6	6	8	0	14	21
NM_206939.1_MS4A7	2976	0	0	6	5	4	4	2	10	0
NM_206938.1_MS4A7	2889	0	0	2	6	0	2	0	2	0
NM_206937.1_LIG4	3994	20	23	0	2	4	12	6	16	0
NM_206930.3_SYTL2	2649	14	14	4	1	0	2	4	1	0
NM_206929.3_SYTL2	2476	12	12	4	5	2	0	0	4	0
NM_206926.1_SEPN1	4255	46	32	26	37	16	29	24	53	36
NM_206925.2_CA12	4176	0	2	2	2	0	0	2	0	4
NM_206923.3_YY2	2741	2	4	6	0	0	8	7	30	22
NM_206922.2_CRIP3	956	0	1	0	9	2	20	14	14	0
NM_206921.2_CEP85L	2387	0	6	0	0	1	2	37	14	12
NM_206920.2_MAMDC4	3669	6	10	17	11	46	16	17	15	0
NM_206919.1_ARL9	836	0	0	0	0	0	0	8	3	0
NM_206918.2_DEGS2	1411	6	6	0	0	0	0	2	0	0
NM_206917.2_BEX3	1025	142	118	40	10	12	12	40	63	0
NM_206915.2_BEX3	1072	124	116	22	6	12	8	24	38	4
NM_206914.1_METTL21B	2856	1	8	6	7	1	17	5	24	18
NM_206909.2_PSD3	10091	324	284	40	38	34	15	76	49	0
NM_206907.3_PRKAA1	5130	18	16	17	30	17	159	122	101	20
NM_206901.2_RTN2	1111	12	12	2	2	4	0	2	0	0
NM_206900.2_RTN2	2069	42	31	6	2	2	0	0	0	0
NM_206899.1_OR10P1	942	0	0	0	0	0	0	0	2	0
NM_206898.1_MRAP	656	0	6	0	0	0	0	0	1	7
NM_206895.1_C2orf82	480	0	14	0	0	4	1	1	0	2
NM_206894.3_ZNF790	2143	4	3	3	0	0	0	11	6	0
NM_206893.3_MS4A10	2296	7	14	6	9	1	21	17	43	55
NM_206891.2_DIP2A	2927	0	2	0	2	0	2	8	13	0
NM_206890.2_DIP2A	2887	0	0	0	2	2	0	6	8	0
NM_206889.2_DIP2A	3121	4	0	0	2	0	3	6	12	0
NM_206886.4_CCDC18	4339	0	2	4	4	0	15	8	17	0
NM_206885.2_SLC26A5	1448	0	0	0	0	0	0	0	0	4
NM_206884.2_SLC26A5	1991	0	0	0	0	0	0	0	0	6
NM_206883.2_SLC26A5	2518	0	0	0	0	0	0	0	0	0
NM_206880.1_OR2V2	948	0	0	0	0	0	0	0	0	0
NM_206876.1_PPP1CB	4786	92	128	79	132	12	75	64	174	2
NM_206873.1_PPP1CA	1356	16	12	20	10	22	40	12	17	0
NM_206866.2_BACH1	5769	6	10	6	31	10	38	47	40	1
NM_206861.2_TACC2	4155	8	6	30	18	1	4	5	4	0
NM_206860.2_TACC2	4000	10	16	36	10	2	10	0	6	0
NM_206855.2_QKI	16378	124	106	58	64	5	24	31	101	2
NM_206854.2_QKI	15431	154	120	46	72	4	20	39	94	2
NM_206853.2_QKI	14152	162	124	44	74	8	14	32	95	8
NM_206840.2_NVL	2866	10	6	10	5	4	2	10	5	0
NM_206839.2_MORF4L1	2011	134	108	46	60	21	43	164	156	32
NM_206837.2_OSCP1	816	14	8	0	0	2	2	37	17	0
NM_206836.2_ECI2	1420	23	14	40	29	82	22	34	33	0
NM_206833.3_CTXN1	1290	150	144	0	0	0	0	18	6	0
NM_206832.2_TMIGD1	1213	0	0	0	0	0	0	0	2	0
NM_206831.2_DPH3	4065	18	21	6	20	4	20	34	30	0
NM_206827.1_RASL11A	1543	5	5	6	6	7	4	7	11	0
NM_206826.1_GNL3	2012	15	12	19	29	12	53	23	34	0
NM_206825.1_GNL3	2159	20	20	14	32	6	55	18	24	0
NM_206824.2_VKORC1	959	2	4	8	6	24	48	2	11	0
NM_206821.2_MYBPC1	3860	2	6	0	0	0	0	10	3	0
NM_206820.2_MYBPC1	3914	4	6	0	0	0	0	0	0	0
NM_206819.2_MYBPC1	3935	4	2	2	0	0	0	2	2	0
NM_206818.2_OSCAR	2073	0	2	6	0	2	1	5	8	12
NM_206814.5_MOG	1822	44	37	2	4	2	9	10	18	23
NM_206812.3_MOG	2053	31	20	0	0	0	0	0	0	10
NM_206811.3_MOG	1851	21	11	0	0	0	0	0	2	10
NM_206810.3_MOG	1803	24	20	2	0	0	2	0	0	6
NM_206809.3_MOG	2170	58	28	2	0	2	2	0	0	4
NM_206808.3_CLYBL	1401	12	7	20	14	54	25	8	8	0
NM_206595.2_ESRRG	5262	0	0	0	1	0	0	0	0	0
NM_206594.2_ESRRG	5380	0	2	0	0	0	0	2	0	0
NM_206539.2_DLK2	2053	1	5	2	1	0	1	2	2	1
NM_206538.3_EMC10	2124	72	30	40	23	48	36	68	74	0
NM_205864.2_CAGE1	2851	0	0	0	0	0	0	9	7	0
NM_205863.3_PARD3B	7871	0	0	4	2	0	0	6	17	16
NM_205861.2_DHDDS	3340	2	5	5	0	0	9	6	11	0
NM_205860.2_NR5A2	5094	0	1	0	6	14	19	1	8	6
NM_205859.1_OR2K2	951	0	2	0	0	0	0	0	0	0
NM_205858.1_NMB	1041	4	0	5	0	0	0	2	0	0
NM_205856.3_SPACA5	732	0	0	0	0	0	0	14	8	2
NM_205855.3_FAM180A	1818	0	0	2	0	2	5	0	2	0
NM_205852.3_CLEC12B	3049	2	0	0	0	0	2	8	38	10
NM_205850.2_SLC24A5	1617	10	15	0	7	2	2	13	37	0
NM_205849.3_FAM9B	2103	7	11	3	3	6	12	19	22	27
NM_205848.3_SYT6	4357	4	6	0	0	0	0	0	0	0
NM_205847.2_GMPPA	1845	6	6	10	13	2	47	2	9	0
NM_205846.2_PRELID2	4844	3	9	1	5	1	15	5	23	28
NM_205845.2_AKR1C2	3521	10	0	23	0	156	28	6	17	0
NM_205843.2_NFIC	8086	36	17	19	14	14	21	8	23	2
NM_205842.2_NCKAP1	5015	264	230	69	105	22	70	37	164	0
NM_205841.3_SPINK6	737	0	0	0	0	0	0	0	0	0
NM_205835.3_LSR	2088	0	3	4	0	26	30	2	14	0
NM_205834.3_LSR	2292	0	4	4	2	32	20	8	21	0
NM_205767.2_C19orf70	904	30	8	34	18	14	17	34	18	0
NM_205548.2_FAM151B	1707	3	2	0	2	0	0	0	6	0
NM_205545.2_LYPD2	594	0	0	0	0	0	0	0	0	0
NM_203506.2_GRB2	3181	116	101	19	27	25	44	25	46	19
NM_203505.2_G3BP2	4410	144	132	16	14	14	56	58	88	2
NM_203504.2_G3BP2	4311	128	144	22	34	22	44	86	118	0
NM_203503.1_CLEC4C	1221	0	0	0	4	0	3	2	4	0
NM_203500.1_KEAP1	2606	32	34	28	12	22	40	30	10	14
NM_203499.2_DDX42	3961	104	108	49	35	28	65	88	157	50
NM_203497.3_COMMD6	1739	6	4	4	4	16	12	8	4	2
NM_203495.3_COMMD6	1695	10	12	22	10	16	12	22	22	4
NM_203494.4_USP50	1392	0	0	1	0	2	2	17	7	0
NM_203487.2_PCDH9	6234	48	29	0	6	0	1	2	2	4
NM_203486.2_DLL3	2052	2	12	0	0	0	0	0	0	0
NM_203475.2_PORCN	1906	10	10	0	1	0	2	0	2	0
NM_203474.1_PORCN	1743	6	4	0	0	0	0	4	0	0
NM_203473.2_PORCN	1891	6	2	6	0	0	0	0	2	0
NM_203472.2_VIMP	1417	12	2	21	16	4	25	52	31	0
NM_203471.1_LGALS14	1099	0	0	0	0	0	0	0	4	0
NM_203468.2_ENTPD2	2156	4	6	4	0	0	0	6	4	0
NM_203467.1_LRR1	1049	0	1	0	0	6	2	24	8	0
NM_203464.2_AK4	6887	26	24	44	42	90	47	12	64	10
NM_203463.2_CERS6	6844	90	86	15	37	10	16	48	114	2
NM_203462.2_MRFAP1L1	1604	131	145	72	48	24	70	28	77	10
NM_203459.2_CAMSAP2	7369	99	45	4	21	0	18	34	43	4
NM_203456.2_PPIE	1136	8	25	10	4	6	9	11	32	0
NM_203454.2_APOBEC4	2786	2	2	0	0	0	0	58	20	0
NM_203453.3_PLPP6	2981	14	10	12	2	12	31	22	19	0
NM_203451.2_SERTM1	3219	28	26	0	2	0	0	2	1	0
NM_203446.2_SYNJ1	7099	57	62	4	4	0	2	18	21	0
NM_203444.3_ABCB9	2636	4	8	0	0	0	0	10	6	10
NM_203437.3_AFTPH	4135	30	29	12	5	10	24	34	39	8
NM_203436.2_ASCL4	2260	6	0	0	0	0	0	0	2	0
NM_203434.2_IER5L	2724	24	12	8	10	0	18	6	4	0
NM_203433.2_PSMG1	1077	4	3	0	4	2	9	72	30	0
NM_203425.2_C17orf82	1546	0	0	0	0	0	0	0	0	0
NM_203424.1_IQCF2	622	0	0	0	0	0	0	44	13	6
NM_203423.2_LOC389199	1296	0	0	0	0	0	0	2	0	0
NM_203422.3_LRRN4CL	2600	3	9	23	23	2	19	10	26	96
NM_203418.2_RCAN1	2501	4	6	18	49	14	10	5	3	0
NM_203417.2_RCAN1	2322	12	4	4	30	4	18	8	0	0
NM_203416.3_CD163	4107	18	6	22	26	15	7	10	14	0
NM_203414.2_ELP5	1525	15	14	8	13	2	17	106	44	36
NM_203413.2_ELP5	2223	16	20	12	6	8	13	80	42	14
NM_203412.1_UBL4B	1510	0	0	0	0	0	0	124	25	122
NM_203411.1_TMEM88	887	2	0	4	10	0	2	4	0	0
NM_203408.3_FAM47A	2584	0	0	0	0	0	0	12	10	24
